gid,aid,data
4827,0,2
8465,0,5
8814,0,1
9232,0,1
9603,0,44
9817,0,15
10288,0,17
10703,0,13
5158,1,28
6705,1,11
8441,1,6
8558,1,2
8854,1,27
8871,1,12
9310,1,12
9516,2,15
10088,2,0
10610,2,35
11066,2,40
11067,2,4
11146,2,4
4647,3,11
5071,3,3
8417,3,1
9466,3,61
9682,3,16
11042,3,4
4321,4,31
4681,4,12
5796,4,54
7139,4,1
0,5,0
2525,5,2
6416,5,13
7325,5,13
8262,5,19
8926,5,28
9197,5,23
4794,6,8
5916,6,43
7908,6,13
7909,6,34
8465,7,19
8728,7,7
10288,7,26
10929,7,1
11470,7,44
11539,7,1
1312,8,35
3075,8,9
9200,8,55
2439,9,11
2785,9,88
7267,10,42
7722,10,57
870,11,6
2043,11,30
2651,11,4
3149,11,10
5538,11,2
6650,11,12
7718,11,0
7734,11,9
9609,11,22
10809,11,0
10920,11,1
2770,12,45
2862,12,24
2870,12,27
3099,12,2
4807,13,21
4981,13,41
6575,13,10
6576,13,4
8289,13,0
9391,13,21
52,14,10
221,14,36
4519,14,6
4813,14,43
6991,14,1
802,15,3
958,15,2
1015,15,0
1417,15,0
2558,15,37
2902,15,9
3902,15,21
4201,15,6
7495,15,11
8771,15,2
11742,15,3
1141,16,0
2118,16,21
2799,16,7
3472,16,70
4113,16,0
3965,17,53
4608,17,13
7737,17,18
7989,17,14
10562,18,0
10920,18,10
11067,18,2
11195,18,4
11556,18,10
11694,18,13
11808,18,58
0,19,0
610,19,13
3282,19,53
4871,19,5
5954,19,13
5972,19,13
9681,19,0
9817,19,0
1335,20,4
5961,20,29
7073,20,24
7328,20,40
7068,21,26
8446,21,22
8840,21,34
9505,21,4
10076,21,6
10246,21,4
10275,21,0
565,22,1
1893,22,20
2238,22,17
2387,22,13
6418,22,46
7147,22,0
8030,23,76
9819,23,23
8662,24,54
9929,24,45
2074,25,3
2625,25,41
3378,25,1
3954,25,0
6231,25,4
6330,25,35
9252,25,13
1241,26,11
1337,26,30
2210,26,11
2492,26,8
2547,26,0
2640,26,12
3090,26,17
3202,26,1
3565,26,2
5491,26,2
3566,27,4
4102,27,11
4817,27,8
5212,27,10
5866,27,14
9474,27,0
9628,27,46
9880,27,3
3735,28,17
4720,28,7
5089,28,0
5850,28,17
7156,28,0
7232,28,6
7805,28,0
7806,28,9
9693,28,15
10243,28,17
11595,28,2
11792,28,4
1584,29,1
2150,29,6
2850,29,47
3527,29,12
4360,29,7
5848,29,25
2072,30,7
3740,30,21
5467,30,5
7819,30,49
9702,30,15
1925,31,30
3868,31,22
6102,31,5
6939,31,9
8105,31,7
9955,31,23
52,32,0
615,32,99
3934,33,1
4577,33,1
4578,33,6
5663,33,25
6514,33,1
6515,33,2
6981,33,2
7546,33,30
8152,33,10
9403,33,7
