gid,aid,data
0,2,0
0,17,0
0,19,7
0,24,0
0,33,0
0,56,15
0,57,0
0,58,4
0,61,0
0,62,1
0,64,0
0,68,2
0,71,4
0,72,0
0,77,0
0,94,0
0,98,0
0,101,0
0,102,0
0,111,0
0,117,0
0,121,0
0,130,0
0,133,1
0,140,0
0,143,0
0,149,1
0,157,0
0,159,0
0,167,0
0,169,0
0,173,0
0,176,0
0,184,0
0,185,1
0,186,1
0,192,0
0,194,0
0,203,1
0,204,0
0,205,22
0,206,0
0,209,0
0,211,12
0,214,7
0,225,0
1,4,0
1,8,1
1,16,0
1,17,0
1,19,2
1,23,0
1,33,0
1,38,0
1,47,0
1,49,1
1,53,5
1,56,20
1,61,0
1,68,1
1,69,1
1,71,4
1,72,0
1,88,0
1,92,0
1,100,0
1,106,1
1,117,0
1,133,1
1,135,0
1,141,0
1,143,0
1,151,0
1,154,0
1,161,9
1,167,0
1,169,0
1,173,0
1,176,0
1,177,0
1,184,1
1,185,0
1,186,1
1,189,0
1,192,0
1,194,2
1,203,0
1,204,5
1,206,0
1,209,0
1,211,19
1,214,0
1,215,4
1,216,1
1,217,0
1,225,0
2,2,3
2,19,5
2,24,0
2,29,0
2,53,13
2,56,22
2,61,1
2,68,1
2,71,1
2,75,1
2,97,0
2,98,1
2,99,0
2,106,0
2,108,0
2,111,0
2,117,1
2,132,1
2,151,0
2,172,0
2,182,0
2,194,0
2,195,1
2,204,8
2,206,0
2,211,18
2,214,8
2,217,0
3,19,0
3,40,1
3,56,0
3,68,8
3,71,7
3,72,0
3,77,79
3,116,0
4,2,0
4,4,2
4,8,3
4,16,0
4,19,2
4,24,0
4,25,0
4,28,0
4,29,1
4,33,0
4,36,0
4,45,0
4,48,2
4,53,17
4,61,0
4,62,1
4,71,6
4,74,0
4,76,0
4,81,5
4,88,0
4,92,1
4,94,0
4,111,3
4,114,0
4,117,3
4,124,8
4,125,0
4,131,3
4,137,0
4,140,0
4,141,0
4,142,0
4,145,0
4,149,1
4,151,0
4,156,0
4,159,1
4,161,0
4,167,0
4,170,0
4,180,1
4,183,0
4,184,0
4,186,0
4,191,0
4,192,0
4,194,2
4,196,0
4,200,1
4,203,1
4,205,6
4,206,0
4,208,1
4,210,0
4,212,5
4,213,2
4,225,0
5,5,0
5,16,0
5,19,13
5,30,0
5,56,6
5,57,0
5,64,8
5,78,0
5,88,0
5,94,0
5,101,0
5,111,2
5,112,4
5,130,18
5,132,0
5,149,1
5,160,2
5,168,0
5,178,11
5,179,0
5,180,11
5,197,1
5,211,12
5,212,1
6,71,100
7,2,0
7,8,0
7,10,0
7,16,0
7,24,0
7,36,0
7,40,3
7,48,1
7,56,4
7,57,0
7,64,0
7,71,0
7,76,0
7,78,0
7,79,0
7,87,0
7,88,0
7,89,2
7,94,0
7,97,0
7,110,1
7,112,0
7,114,0
7,125,2
7,127,0
7,133,0
7,141,1
7,143,0
7,150,0
7,151,0
7,154,0
7,160,1
7,165,0
7,169,0
7,175,1
7,176,10
7,179,0
7,189,0
7,196,0
7,199,0
7,203,2
7,205,26
7,206,2
7,210,1
7,211,9
7,212,0
7,214,2
7,215,5
7,216,3
7,217,0
7,218,0
7,222,0
7,224,1
7,225,0
8,8,10
8,22,3
8,29,0
8,31,0
8,45,0
8,48,3
8,49,0
8,50,8
8,71,1
8,81,0
8,85,0
8,86,0
8,92,1
8,97,0
8,112,2
8,117,5
8,124,52
8,131,0
8,142,0
8,154,0
8,159,1
8,163,0
8,173,0
8,184,0
8,186,0
8,194,2
8,200,0
9,2,0
9,9,16
9,19,1
9,25,2
9,37,1
9,43,0
9,47,0
9,57,0
9,71,46
9,77,2
9,88,6
9,104,3
9,106,0
9,116,2
9,151,0
9,159,0
9,161,6
9,171,2
9,178,3
9,180,0
9,181,0
9,203,1
9,218,0
10,10,5
10,20,11
10,35,0
10,49,32
10,65,0
10,66,1
10,67,0
10,68,0
10,71,21
10,74,1
10,83,0
10,88,1
10,127,0
10,140,0
10,143,0
10,151,0
10,159,0
10,161,2
10,170,1
10,181,0
10,185,0
10,190,0
10,211,0
10,214,0
10,216,1
10,222,0
10,223,0
10,225,0
10,229,12
11,1,0
11,4,1
11,8,10
11,11,8
11,17,2
11,22,2
11,28,0
11,53,7
11,58,0
11,61,1
11,64,20
11,69,0
11,81,7
11,88,3
11,93,0
11,112,2
11,114,0
11,141,0
11,142,0
11,148,12
11,152,0
11,166,3
11,172,0
11,190,0
11,191,2
11,194,0
11,197,1
11,209,4
11,212,0
11,217,0
12,4,0
12,5,0
12,8,0
12,12,7
12,19,5
12,23,0
12,30,0
12,33,0
12,49,0
12,56,9
12,57,0
12,60,2
12,62,0
12,68,7
12,70,0
12,71,18
12,78,0
12,94,0
12,96,1
12,97,4
12,113,0
12,115,0
12,117,0
12,124,0
12,138,0
12,141,0
12,143,6
12,148,1
12,150,0
12,151,0
12,156,0
12,159,1
12,161,0
12,162,1
12,174,0
12,176,0
12,186,0
12,189,0
12,191,0
12,192,0
12,193,0
12,202,0
12,204,1
12,205,11
12,206,0
12,211,5
12,214,3
12,222,0
12,225,0
13,1,5
13,56,43
13,71,0
13,117,0
13,135,0
13,145,0
13,173,4
13,194,0
13,216,45
14,53,0
14,194,99
15,2,4
15,15,3
15,16,0
15,48,0
15,50,8
15,53,28
15,65,0
15,74,0
15,107,6
15,111,7
15,124,15
15,163,0
15,186,2
15,190,1
15,194,3
15,200,16
16,7,0
16,8,0
16,11,6
16,16,4
16,26,4
16,30,0
16,33,0
16,36,0
16,53,0
16,58,2
16,64,17
16,65,1
16,71,3
16,75,0
16,78,0
16,81,8
16,84,0
16,94,1
16,97,0
16,107,2
16,111,4
16,121,0
16,124,2
16,126,1
16,142,5
16,154,0
16,155,1
16,167,0
16,181,0
16,184,0
16,189,0
16,190,0
16,191,0
16,194,1
16,196,7
16,197,0
16,198,0
16,200,1
16,206,1
16,209,0
16,212,1
16,213,2
16,217,2
16,218,2
16,227,2
17,0,0
17,16,0
17,17,12
17,29,37
17,53,6
17,81,3
17,96,3
17,107,0
17,124,3
17,188,16
17,194,2
17,200,1
17,212,11
18,2,0
18,8,1
18,48,0
18,51,0
18,56,1
18,57,0
18,62,1
18,71,1
18,73,0
18,74,1
18,78,0
18,87,0
18,88,0
18,94,0
18,115,0
18,125,0
18,137,0
18,141,0
18,142,1
18,149,0
18,150,0
18,151,0
18,159,1
18,160,8
18,162,0
18,177,36
18,184,0
18,186,0
18,194,1
18,202,0
18,204,2
18,205,13
18,206,2
18,209,0
18,210,4
18,211,8
18,214,2
18,216,1
18,217,0
18,223,0
18,225,0
19,19,19
19,22,1
19,35,0
19,68,3
19,71,17
19,177,40
19,178,10
19,194,0
19,210,0
19,211,5
19,215,1
20,20,18
20,52,14
20,56,27
20,57,0
20,72,0
20,74,0
20,75,7
20,77,1
20,137,0
20,185,0
20,186,0
20,194,20
20,203,0
20,204,6
20,216,0
21,4,0
21,8,2
21,16,0
21,17,2
21,19,0
21,21,5
21,22,5
21,25,2
21,33,0
21,39,0
21,45,0
21,47,0
21,50,0
21,61,4
21,64,3
21,71,2
21,74,0
21,81,8
21,84,2
21,87,0
21,93,0
21,117,14
21,121,0
21,122,0
21,124,20
21,125,0
21,135,0
21,137,0
21,140,1
21,141,0
21,142,0
21,151,0
21,160,0
21,179,0
21,194,2
21,198,0
21,203,0
21,216,1
21,217,0
21,219,0
21,225,6
22,4,0
22,22,45
22,32,0
22,48,0
22,50,0
22,71,0
22,72,0
22,97,0
22,117,7
22,124,41
22,160,0
22,173,0
22,219,1
23,23,6
23,35,0
23,47,1
23,56,3
23,71,0
23,113,6
23,159,1
23,160,2
23,176,5
23,199,2
23,210,0
23,211,0
23,215,35
23,216,34
24,2,1
24,16,0
24,19,0
24,24,4
24,25,1
24,26,0
24,27,1
24,29,0
24,33,0
24,47,0
24,53,11
24,57,0
24,58,0
24,74,0
24,75,0
24,81,4
24,90,1
24,92,2
24,99,0
24,105,0
24,111,4
24,114,0
24,115,0
24,117,0
24,122,8
24,124,2
24,125,4
24,140,0
24,145,0
24,146,5
24,149,0
24,150,0
24,151,0
24,160,1
24,169,0
24,176,0
24,179,0
24,180,0
24,191,0
24,192,0
24,194,1
24,196,0
24,200,2
24,203,1
24,205,8
24,206,0
24,208,2
24,212,10
24,213,2
24,225,1
25,2,1
25,25,54
25,26,12
25,27,0
25,36,0
25,71,2
25,75,6
25,81,3
25,92,2
25,111,0
25,112,1
25,114,0
25,121,0
25,122,2
25,124,4
25,140,0
25,145,0
25,150,0
25,154,0
25,159,0
25,168,1
25,169,0
25,192,1
25,194,0
25,200,0
25,212,0
25,216,2
26,2,0
26,26,18
26,53,1
26,71,0
26,111,3
26,121,53
26,140,0
26,141,1
26,168,4
26,194,1
26,200,14
27,4,2
27,19,1
27,22,1
27,25,1
27,27,16
27,45,0
27,53,4
27,71,0
27,74,0
27,81,2
27,83,0
27,97,0
27,111,0
27,112,2
27,122,13
27,124,31
27,142,0
27,150,0
27,171,4
27,176,1
27,185,0
27,190,0
27,194,1
27,200,9
27,203,0
27,216,1
28,16,0
28,28,2
28,42,0
28,45,3
28,53,15
28,58,1
28,69,0
28,83,0
28,88,16
28,92,1
28,96,1
28,100,0
28,111,3
28,124,5
28,148,37
28,159,0
28,194,1
28,200,7
29,29,39
29,75,1
29,81,5
29,96,28
29,124,2
29,138,1
29,188,21
30,4,2
30,10,1
30,11,1
30,22,2
30,24,2
30,29,0
30,30,3
30,36,0
30,37,2
30,41,2
30,53,8
30,55,1
30,57,1
30,58,2
30,62,3
30,65,0
30,71,0
30,81,4
30,83,4
30,89,0
30,91,0
30,92,1
30,111,2
30,120,0
30,121,0
30,124,17
30,127,0
30,128,1
30,133,0
30,146,1
30,151,0
30,167,3
30,169,0
30,174,1
30,180,0
30,184,1
30,187,7
30,194,0
30,195,4
30,196,5
30,199,0
30,212,0
30,216,0
30,217,1
31,0,0
31,10,6
31,31,17
31,44,1
31,49,11
31,68,28
31,71,2
31,96,0
31,131,31
32,14,0
32,29,3
32,32,16
32,96,0
32,166,7
32,188,4
32,194,65
33,21,0
33,22,5
33,24,0
33,25,3
33,27,7
33,29,0
33,37,0
33,48,1
33,50,0
33,66,3
33,71,1
33,72,0
33,75,2
33,97,0
33,103,3
33,124,32
33,127,1
33,140,0
33,142,0
33,150,1
33,151,0
33,155,0
33,159,8
33,163,0
33,171,2
33,198,0
33,202,0
33,203,0
33,206,0
33,211,11
33,216,6
33,222,0
34,2,4
34,13,0
34,22,0
34,24,1
34,29,0
34,31,0
34,34,7
34,48,2
34,50,0
34,53,2
34,64,13
34,75,0
34,81,14
34,95,0
34,98,0
34,115,0
34,124,5
34,127,1
34,131,0
34,146,8
34,161,3
34,169,0
34,179,1
34,180,9
34,187,10
34,195,2
34,196,0
34,200,1
34,203,0
34,216,0
34,226,4
35,10,0
35,11,2
35,33,0
35,35,55
35,61,1
35,71,1
35,86,0
35,98,0
35,102,0
35,151,2
35,154,1
35,160,0
35,176,8
35,177,2
35,185,0
35,201,0
35,212,0
35,215,20
35,217,0
36,2,0
36,8,0
36,20,2
36,29,3
36,33,0
36,34,0
36,35,0
36,36,0
36,39,0
36,40,0
36,53,25
36,57,0
36,61,1
36,74,0
36,75,1
36,87,0
36,97,3
36,98,0
36,103,1
36,108,1
36,109,0
36,115,0
36,120,2
36,121,1
