gid, aid, data
7,0,37
7,16,5
7,17,1
7,24,0
7,28,1
7,35,2
7,43,0
7,44,0
7,70,0
7,76,7
7,113,0
7,117,0
7,120,2
7,130,0
7,131,2
7,132,0
7,137,8
7,138,28
7,158,0
8,1,62
8,2,2
8,14,2
8,17,0
8,20,0
8,32,1
8,35,10
8,36,0
8,53,0
8,90,0
8,104,1
8,114,0
8,119,1
8,136,0
8,138,5
8,145,6
8,147,0
8,148,1
8,157,1
8,158,1
22,1,20
22,2,39
22,8,0
22,32,14
22,40,1
22,83,0
22,90,3
22,92,18
22,124,0
27,3,98
27,10,1
32,0,0
32,4,7
32,29,34
32,39,2
32,94,0
32,102,0
32,108,54
35,5,15
35,48,6
35,62,48
35,82,2
35,118,3
35,158,24
37,5,0
37,6,12
37,12,0
37,27,0
37,28,0
37,33,3
37,34,0
37,62,15
37,68,0
37,69,0
37,75,0
37,82,0
37,88,0
37,104,1
37,115,0
37,117,0
37,138,52
37,148,0
37,158,10
48,1,0
48,3,23
48,7,13
48,12,1
48,14,9
48,16,5
48,32,8
48,36,7
48,61,16
48,64,1
48,67,0
48,100,12
48,131,0
51,5,0
51,6,1
51,12,0
51,26,3
51,33,1
51,34,0
51,36,0
51,42,1
51,46,3
51,54,1
51,58,29
51,62,14
51,82,3
51,90,2
51,104,2
51,109,0
51,117,0
51,119,0
51,131,0
51,141,5
51,146,6
51,148,0
51,157,3
51,158,17
53,36,7
53,37,72
53,50,20
54,6,0
54,10,50
54,13,0
54,16,2
54,21,11
54,28,5
54,33,0
54,35,3
54,39,1
54,48,0
54,49,1
54,51,0
54,54,0
54,59,0
54,73,0
54,108,0
54,147,1
54,149,4
54,157,6
54,158,7
57,0,0
57,1,2
57,2,17
57,3,4
57,11,5
57,15,0
57,32,0
57,37,0
57,39,2
57,42,0
57,43,0
57,56,0
57,58,0
57,59,0
57,67,0
57,76,1
57,83,0
57,89,0
57,90,1
57,103,2
57,114,12
57,117,0
57,126,0
57,138,38
57,139,0
57,147,2
57,149,2
57,157,0
57,158,0
58,12,42
58,50,39
58,102,18
59,13,6
59,22,7
59,32,0
59,35,3
59,60,2
59,67,4
59,73,1
59,102,5
59,120,37
59,126,6
59,131,0
59,137,25
62,3,8
62,14,30
62,36,37
62,37,5
62,112,16
68,9,18
68,15,14
68,30,0
68,42,0
68,49,8
68,92,0
68,105,52
68,107,3
68,117,0
68,147,0
72,16,100
77,1,1
77,2,15
77,11,11
77,17,69
77,32,0
77,71,0
77,145,0
77,147,1
78,2,35
78,18,59
78,39,4
79,14,1
79,36,5
79,108,52
79,111,41
80,0,0
80,3,3
80,55,1
80,89,0
80,91,75
80,100,19
81,21,88
81,35,0
81,54,3
81,119,0
81,149,0
81,157,4
81,158,2
84,3,24
84,22,46
84,49,9
84,70,0
84,83,0
84,95,10
84,122,6
84,131,0
84,138,0
85,3,9
85,24,3
85,27,11
85,36,8
85,45,9
85,49,10
85,50,5
85,55,5
85,64,14
85,82,11
85,100,7
85,126,2
90,1,0
90,12,10
90,24,15
90,49,32
90,55,17
90,111,22
92,17,19
92,25,25
92,72,3
92,98,1
92,104,6
92,115,0
92,120,1
92,144,8
92,156,3
92,158,29
94,26,54
94,89,45
95,3,27
95,27,37
95,36,2
95,82,8
95,100,6
95,126,17
98,28,100
99,3,23
99,29,61
99,110,15
101,4,1
101,26,4
101,28,9
101,62,1
101,63,18
101,73,45
101,80,0
101,129,6
101,134,1
101,141,3
101,146,4
103,1,0
103,10,1
103,11,2
103,13,0
103,31,74
103,40,3
103,42,0
103,43,2
103,48,0
103,53,0
103,79,0
103,94,4
103,103,2
103,106,0
103,118,0
103,130,2
103,150,2
111,1,2
111,2,10
111,32,86
113,31,1
113,32,15
113,34,1
113,35,10
113,58,3
113,75,3
113,80,0
113,120,0
113,129,9
113,144,1
113,150,11
113,156,2
113,158,36
114,0,0
114,1,0
114,3,5
114,18,0
114,34,85
114,54,0
114,76,1
114,101,0
114,102,1
114,125,0
114,144,0
114,147,0
114,149,2
115,35,42
115,86,16
115,120,41
117,36,99
117,58,0
119,37,100
120,3,24
120,27,19
120,36,4
120,111,51
121,16,7
121,34,0
121,39,25
121,59,9
121,64,0
121,101,55
121,134,2
125,0,0
125,1,73
125,30,0
125,31,0
125,34,0
125,46,3
125,51,0
125,62,0
125,74,1
125,85,2
125,95,0
125,115,3
125,117,0
125,120,0
125,132,0
125,138,12
127,2,0
127,3,1
127,7,0
127,13,0
127,15,1
127,16,0
127,21,2
127,22,0
127,28,1
127,35,1
127,41,1
127,48,0
127,53,0
127,54,0
127,60,0
127,65,0
127,67,0
127,73,10
127,86,1
127,92,0
127,97,0
127,100,0
127,102,20
127,105,0
127,115,1
127,119,1
127,120,1
127,123,0
127,130,0
127,131,3
127,137,12
127,138,28
127,157,2
129,93,5
129,125,94
132,43,100
133,1,0
133,3,8
133,10,5
133,28,4
133,35,4
133,43,26
133,44,23
133,87,23
133,93,3
138,1,0
138,3,5
138,18,1
138,21,0
138,24,2
138,31,4
138,33,0
138,37,1
138,42,0
138,43,1
138,45,55
138,49,1
138,64,0
138,89,0
138,90,0
138,100,0
138,112,0
138,117,0
138,138,18
138,147,2
138,148,0
140,3,2
140,25,0
140,28,2
140,30,2
140,43,1
140,46,39
140,55,0
140,63,0
140,67,0
140,79,0
140,83,0
140,89,11
140,92,0
140,95,0
140,100,3
140,102,1
140,109,7
140,115,1
140,117,0
140,129,3
140,130,0
140,131,1
140,137,7
140,138,4
140,145,0
140,146,4
140,149,0
140,153,0
141,0,2
141,1,1
141,3,4
141,4,1
141,5,0
141,6,0
141,7,0
141,13,0
141,18,0
141,24,1
141,28,0
141,31,4
141,32,8
141,34,3
141,36,0
141,40,0
141,42,3
141,44,0
141,47,1
141,50,12
141,53,0
141,54,1
141,56,0
141,59,0
141,60,0
141,61,9
141,64,0
141,70,0
141,71,0
141,83,0
141,86,0
141,100,4
141,101,0
141,102,4
141,105,1
141,111,2
141,119,0
141,120,0
141,131,0
141,137,9
141,138,5
141,147,1
141,148,0
141,149,2
141,157,2
141,158,0
142,12,20
142,16,0
142,17,0
142,21,1
142,22,1
142,25,3
142,28,0
142,35,11
142,48,4
142,49,0
142,54,0
142,58,2
142,60,1
142,67,0
142,76,0
142,101,0
142,102,1
142,104,1
142,105,0
142,117,10
142,118,0
142,120,2
142,126,0
142,131,1
142,132,0
142,137,16
142,138,9
142,141,1
142,148,0
142,149,0
142,157,1
142,158,1
144,16,0
144,17,0
144,40,0
144,49,29
144,89,1
144,97,0
144,115,55
144,130,0
144,138,0
144,157,1
144,158,10
148,3,17
148,27,35
148,36,9
148,49,0
148,50,37
151,1,1
151,3,48
151,6,0
151,11,1
151,16,0
151,18,1
151,30,0
151,34,0
151,35,2
151,36,1
151,49,20
151,51,4
151,54,0
151,62,0
151,70,0
151,71,0
151,72,1
151,76,0
151,82,2
151,89,0
151,100,3
151,101,0
151,103,0
151,109,1
151,118,0
151,131,1
151,138,3
151,141,0
151,142,0
151,152,0
156,3,23
156,49,4
156,52,22
156,112,49
